Group,ID
Cetacea,1
Harp seals,2
Hooded seals,3
Grey seals,4
Harbour seals,5
Seabirds,6
Large cod,7
Small cod,8
L. Greenland halibut,9
S. Greenland halibut,10
American plaice,11
Flounders,12
Skates,13
Redfish,14
L. demersals,15
S. demersals,16
Capelin,17
Sand lance,18
Arctic cod,19
L. pelagics,20
S. pisciv. pelagics,21
S. plankt. pelagics,22
Shrimp,23
Large crustacea,24
Echinoderms,25
Molluscs,26
Polychaetes,27
Other bent. invert.,28
Large zooplankton,29
Small zooplankton,30
Phytoplankton,31
Detritus,32