Prey \ predator,Birds,Seals,Toothed whales,Fish adult,Fish juvenile,Baleen whales,Squid,Meopelagic fish,Macrozooplankton,Macrobenthos,Mesozooplankton,Ciliates,Heterotrophic flagellates,Meiobenthos,Bacteria column,Bacteria sediment,Phytoplankton,Detritus column,Detritus sediment
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01200695,0
Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847734,0
Toothed whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01921,0
Fish adult,0,0.01035,0.02805,0.0176163,0,0,0.026928,0,0,0,0,0,0,0,0,0,0,0.2721497,0
Fish juvenile,0.0028835,0,0,0.0469768,0,0,0.031416,0,0,0,0,0,0,0,0,0,0,0.05632371,0
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010392,0
Squid,0.017301,0.01242,0.06545001,0.0176163,0,0,0.04488,0,0,0,0,0,0,0,0,0,0,0.09109271,0
Meopelagic fish,0.0178777,0.01863,0,0.1820351,0,0.02048,0.031416,0,0,0,0,0,0,0,0,0,0,1.838561,0
Macrozooplankton,0.0196078,0,0,0.7222683,0.1032,0.0256,0.31416,1.7328,0,0.03575,0,0,0,0,0,0,0,4.261814,0
Macrobenthos,0,0,0,0.1879072,0,0,0,0,0,0.03575,0,0,0,0,0,0,0,0,0.3123428
Mesozooplankton,0,0,0,0,0.1548,0.00512,0,2.8272,5.64465,0,9.068118,0,0,0,0,0,0,27.64176,0
Ciliates,0,0,0,0,0,0,0,0,0,0,12.09082,0,0,0,0,0,0,15.02446,0
Heterotrophic flagellates,0,0,0,0,0,0,0,0,1.53945,0,33.24976,24.83858,25.46719,0,0,0,0,80.95058,0
Meiobenthos,0,0,0,0,0,0,0,0,0,0.2145,0,0,0,0.6452,0,0,0,0,1.1081
Bacteria column,0,0,0,0,0,0,0,0,0,0,0,0,50.93437,0,0,0,0,47.17709,0
Bacteria sediment,0,0,0,0,0,0,0,0,0,0.429,0,0,0,2.5808,0,0,0,0,3.2602
Phytoplankton,0,0,0,0,0,0,0,0,3.0789,0,6.045412,16.55905,178.2703,0,0,0,0,106.7903,0
Detritus column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.2313,0,0,0,54.92294
Detritus sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0