Prey \ predator,Killers Whales,Toothed Whales,Porpoises,Gray Whales,Baleen whales,Sea Otters,Walrus Bd Seals,N Fur Seal,Steller Sea Lion,Seals,Seabirds,Sleeper shark,W Pollock ,P cod ,Herring ,Arrowtooth ,Flatfish,Skates,Sablefish ,Eelpouts,Deepwater Fish,POP,Demersal fish,Atka mackerel ,Sculpins,Misc fish shallow,Cephalopods,Salmon,Mesopelagics,Forage fish,Crustaceans,Sea stars,Urchins dollars cucumbers,Snails,Benthic Amphipods,Coral-like,Urochordata,Sea Pens & Sponges,Bivalves,Worms,Scyphozoid,Large Zooplankton,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Microbes
Killers Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toothed Whales,0.01009579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porpoises,0.002981736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray Whales,0.026916425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baleen whales,0.418519839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Otters,0.000618239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walrus Bd Seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Fur Seal,0.028470183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steller Sea Lion,0.001334102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seals,0.01108162,0,0,0,0,0,0.001017812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0.000149786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleeper shark,0,0.000624281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Pollock ,0.25059842,0.1136952,0.1139171,0,0.087700288,0.16682282,0,0.3051882,0.330321305,0.3255157,0.111586973,0.2,0.069489898,0.147315657,0,0.4412209,0.167152504,0.427569322,0.22958055,0.00395613,0,0,0,0,0.056108535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
P cod ,0.03100175,0.033857146,0.004967099,0,0,0.00078059,0,0.007121057,0.07028113,0.025142435,0.023657923,0,0.000488812,0.002886057,0,1.86E-06,0.00349448,0.005129105,0,0,0,0,0,0,0.010298893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring ,0.007545383,0.000612086,0.00061328,0,0.00047214,0.005022965,0,0.06103763,0.03012048,0.036372635,0.01305185,0,0.000447802,0.001071256,0,0.006714985,0.001187416,0.000956369,0.000182859,0.000741705,0,0,0,0,0.001676873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
Arrowtooth ,0.012570471,0,0,0,0,0,0,0,0,0,0,0.1201747,0.00041925,0.000360901,0,0.001711792,6.49E-05,0.013147045,8.61E-05,0,0,0,0,0,0.000020975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flatfish,0.146786045,0,0,0,0,0.000178755,0,0.08138352,0.120481982,0.065085076,0,0.079825309,0.000412229,0.01358588,0,0.006892613,0.008094266,0.078950957,0,0.00000738,0,0,0,0,0.027295078,0.007394266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skates,0,0.009067319,0,0,0,0,0,0,0,0,0,0,0,0.000000335,0,0,8.18E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sablefish ,0,0.000446821,0,0,0,0,0,0.005086469,0,0,0,0,0,0,0,0,0.000073261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eelpouts,0,0.11781052,0.09603329,0,0,0,0,0,0.01004016,0.058191735,0,0,0.000350401,0.020038304,0,0.02165435,0.011557097,0.05942376,0.000168663,0.01845699,0,0,0,0,0.008327035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deepwater Fish,0,0.011443463,0,0,0,0,0,0,0,0,0,0.2,0.000000398,0,0,0.00000252,4.44E-07,0,0,0,0,0.003680558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POP,0,0.001953749,0,0,0,0,0,0.000778185,0.003072112,0.00172531,0.00059965,0,0,5.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal fish,0,0.000600276,0,0,0,0.0000723,0,0.000239081,0.000943971,0.000530112,0.000184223,0,0,0.000000303,0,0,5.93E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atka mackerel ,0,0,0,0,0,0,0,0.005086469,0.001004016,0.005668935,3.88E-07,0,0,0.000989179,0,0.000207722,0.000349471,0,0,0,0,0,0,0,0.00000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sculpins,0,0.03975462,0.03983222,0,0,0,0,0.001017294,0.06024096,0.067824015,0,0,0.000273072,0.010999062,0,0.017369644,0.004328362,0.012699087,0,0.01351007,0,0,0.000952248,0,0.169747835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misc fish shallow,0,0.02643966,0.02649128,0,0.008172675,0,0,0,0.03012048,0.125864595,0,0.02,0.000070499,0.00218247,0,0.000985532,0.002737888,0.018587322,0.00003635,0.000986536,0,0,0.000274494,0,0.017211535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopods,0,0.463064114,0.5,0,0.012491749,0.05,0.01017812,0.306205494,0.21084338,0.076041754,0.203162782,0.22,0.001394885,0.003703784,0,0.004430452,0.024005691,0.0000144,0.124958055,0,0.5,0.000398497,0.098044208,0,0.003606705,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
Salmon,0.001981827,0.008378676,0.008395033,0,0.005241342,0,0,0.02034588,0.010040162,0.002834467,7.78E-09,0.05,0,0.000826364,0,0,0,0.01277391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesopelagics,0.008772975,0,0.037162399,0,0,0,0,0.04069176,0,0,0.035354195,0,0.002224265,7.64E-07,0,0.001708654,0.010310497,0,0.009468165,0,0,0.017066864,0.000632478,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0
Forage fish,0.040743145,0.17225203,0.17258829,0,0.107753495,0.027122614,0,0.16581894,0.1004016,0.0733597,0.432742843,0,0.002398759,0.022430333,0,0.021872862,0.022634583,0.016131238,0.15405695,0.012332804,0,0,0,0,0.019894907,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
Crustaceans,0,0,0,0.025054218,0.001905755,0.2880412,0.03053435,0,0.020080321,0.122770019,0.010062919,0.0075,0.037691905,0.274151655,0,0.269774665,0.219929628,0.265637924,0.003337017,0.120461292,0.5,0.000296146,0.212202008,0.003164422,0.445004677,0.225963113,0.1,0,0,0,0.019649786,0.0125,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
Sea stars,0,0,0,0.004212931,0.000320457,0,0,0,0,0,0,0,5.32E-05,0.000246905,0,0.00006895,0.03434655,0.000344837,0.000396427,0.1822525,0,0,0,0,8.44E-05,0,0,0,0,0,0.023572872,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urchins dollars cucumbers,0,0,0,0.000840129,6.39E-05,0.4619588,0,0,0,0,0,0,1.03E-07,6.94E-05,0,0,0.007503267,4.58E-08,0,0,0,0,0,0,0.0000053,0,0,0,0,0,0.023568488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snails,0,0,0,0.000502282,3.82E-05,0,0.0610687,0,0.001004016,0,0,0.0025,0.000147545,0.003043735,0,0.000132326,0.00308138,0.000171338,0,0,0,0,0,0,0.000364493,0,0.2,0,0,0,0.035447305,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic Amphipods,0,0,0,0.9,0.000726827,0,0,0,0,0,0.001573573,0,0.038737605,0.210119355,0.00001965,0.001455031,0.089165139,0.007050815,0.00011565,0.3280452,0,0.001341889,0.158464708,0,0.079829635,0.09178961,0,0,0,0,0.086908778,0.05,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0
Coral-like,0,0,0,0.000268042,0.000020394,0,0,0,0,0,0,0,0,3.11E-08,0,0.000000298,6.60E-06,0,0,0.00171725,0,0,0,0,0.009832602,0,0,0,0,0,0.00817804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urochordata,0,0,0,0.000281016,2.14E-05,0,0,0,0,0,0,0,0.00001385,0.000354965,0,0.000000477,0.000968495,0.000000945,0.075,0,0,0,0,0,0,0,0,0,0,0,0.001172416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Pens & Sponges,0,0,0,0.0000538,4.09E-06,0,0,0,0,0,0,0,0.000045,0.0000282,0,8.00E-10,2.17E-05,0.000004535,0,0,0,0,0,0,0,0,0,0,0,0,0.000557555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bivalves,0,0,0,0.04904792,0.003730833,0,0.7139949,0,0.001004016,0,0.0049571,0,0.000496843,0.001075995,0,0.000092054,0.032185095,0.0000158,0,0.05257819,0,0,0,0,0.006024681,0,0.2,0,0,0,0.1805107,0.455,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Worms,0,0,0,0.019739576,0.001501492,0,0.1832061,0,0,0.013073505,0.001995009,0,0.005220046,0.056713452,0.000207026,0.000547659,0.182662465,0.003085776,0.0000165,0.262329,0,0.000279276,0.012266365,0,0.074025718,0.0000119,0,0,0,0,0.238360921,0.015,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Scyphozoid,0,0,0,0,0,0,0,0,0,0,0,0,0.00002395,0.00000243,0,0.00000117,0.000365494,0.00000835,0.00779658,0,0,0,0,0,1.88E-06,0.06429844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large Zooplankton,0,0,0,0,0.340276768,0,0,0,0,0,0.064567867,0,0.421222433,0.188207096,0.917588,0.179171133,0.165507381,0.000338674,0.250172262,0.00026675,0,0.925620432,0.37089501,0.94182535,0.043809105,0.04620748,0.235,0.325,0.9,0.9,0.050592055,0,0,0,0,0,0,0,0,0,0.69,0.025,0,0,0,0,0
Pelagic Amphipods,0,0,0,0,0.029473632,0,0,0,0,0,0.005622379,0,0.010569044,0.000159845,0.000210716,5.01E-07,0.001214555,0,0.0000309,0.001079521,0,0.0000024,0.000243162,0,0.013851786,0.01400283,0.07,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0
Gelatinous filter feeders,0,0,0,0,0,0,0,0,0,0,0,0,0.010135774,5.05E-08,0,0.000065239,0.000176381,0,0,0,0,0.000123797,0,0.001845833,0.006199658,0.550011,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0125,0,0,0,0,0
Pteropods,0,0,0,0,0.004259509,0,0,0,0,0,0,0,0.000304508,1.97E-07,0,0.000000157,0.000763437,0,0.05,0,0,0.000152204,0.000506591,0,0.000010625,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0
Copepods,0,0,0,0,0.395825083,0,0,0,0,0,0.089631593,0,0.3917217,0.003084104,0.081974605,0.000161299,0.000745832,0,0.075,0,0,0.0510379,0.145518748,0.053164422,0.004670863,0.000321321,0.1,0.35,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.15,0.25,0.25,0.25,0.25,0,0
Microbes,0,0,0,0,0,0,0,0,0,0,0,0,0.000001585,1.80E-05,0,0,0.000073662,0,0,0.00065419,0,0,0,0,9.09E-05,0,0,0,0,0,0.0625,0,0,0,0.5,0.15,0.15,0.15,0.15,0.5,0.05,0.15,0.15,0.15,0.15,0.5,0
Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-05,0,0,1.01E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003672375,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.5375,0.6,0.6,0.6,0.5,0.35
Outside Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discards,0,0,0,0,0,0,0,0,0,0,0.001098901,0.1,0.005644555,0.036266025,0,0.02375502,0.005283741,0.077958347,0.01959685,0.00062444,0,0,0,0,0.002003981,0,0,0,0,0,0.003824178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261484529,0.45,0.75,0.2,0.5,0.6,0.6,0.6,0.6,0.5,0,0,0,0,0,0,0.65
Outside Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0