Prey \ predator,Barramundi,Juv Mangrove Jack,Sea birds,Large sharks/rays,Inshore Finfish,Large groupers,Adult Mangrove Jack,Cephalopods,Scombrids/jacks,Large schooling fish,adult small school fish,juv small schooling fish,Coral Trout,Large fish carniv.,Other prawns,P.longistylus,P.esculentus,M.endeavouri,Small fish omniv.,Crustaceans,Sea turtles (large),Echinoderms,Benthic molluscs/worms,Zooplankton,Sessile animals,Dugong,Fish herbivore,Decomposer/microfauna,Phytoplankton,Benthic autotrophs,Detritus/discards,Detritus,Import
Barramundi,0.134826,0,0,7.98E-06,0.06789054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juv Mangrove Jack,0,0,0,0,0.02657602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea birds,0,0,0,0.004391299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large sharks/rays,0,0,0,8.51E-05,0,0.000102629,8.68E-06,0,8.66E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inshore Finfish,0.1942585,0.0474253,0,0.000203506,0.1216716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large groupers,0,0,0,0.001442593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Mangrove Jack,0,0,0,0.040832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalopods,0,0,0,0.01757677,0,0,0.01679476,0.06606514,0.01332145,0,0,0,0.003456699,0.003302793,0.002296236,0,0,0,0,0.000979153,0,0.001936945,0,0,0,0,0,0,0,0,0,0,0
Scombrids/jacks,0,0,0.1417482,0.04247745,0,0,0.02422979,0,0.01873752,0.001208673,0,0,0.01515253,0.01081715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large schooling fish,0,0,0.157585,0.00732369,0,0,0,0,0,0.002417346,0,0,0.004329303,0.001362626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adult small school fish,0,0.5623177,0.2497291,0.08068063,0,0,0.2556517,0.07669011,0.2469871,0.04226906,0.007234647,0.003617291,0.02839298,0.0267193,0,0,0,0,0.001909401,0.004774846,0,0,0,0,0,0,0,0,0,0,0,0,0
juv small schooling fish,0,0,0,0,0,0,0.01161312,0.007193469,0.01157666,0.001208673,0,0,0.000108341,0.001025545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coral Trout,0,0,0,0.02929476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large fish carniv.,0,0,0.1275737,0.1992025,0,0.6383291,0.06038824,0,0.05403217,0,0,0,0.005411632,0.005127732,0.0057406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other prawns,0.03620913,0,0,7.98E-06,0,0,0,9.46E-05,0,0,1.01E-07,1.01E-07,0,0,0,0,5.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.longistylus,0,0,0.007087429,0.02197109,0,0,0.001525135,0,0.001519311,0,0,0,0,0,0,0,0,0,0.001037391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.esculentus,0,0,0.02834971,0.04980063,0,0,0.005664781,0,0.005426119,0,0,0,0,0,0,0,0,0,0.002074669,0,0.002188569,0,0,0,0,0,0,0,0,0,0,0,0
M.endeavouri,0,0,0.04252459,0.04980063,0,0,0.004575397,0,0.004340899,0,0,0,0,0,0,0,0,0,0.001452348,0,0.002188569,0,0,0,0,0,0,0,0,0,0,0,0
Small fish omniv.,0.3173976,0.01731147,0.03501848,0.07163085,0.01653172,0,0.05041708,0.01883692,0.04884193,0,0,0,0.006772134,0.002579543,0.001401235,0,0,0,0.009646442,0.000248395,0,0,0,0,0,0,0,0,0,0,0,0,0
Crustaceans,0.3173086,0.2990645,0,0.03072427,0.5271589,0.1035938,0.01341349,0.1211595,0.01290263,0.002064051,0.001709073,0.001707031,0.03444634,0.003510849,0.0152205,0.07576323,0.08154861,0.05916045,0.01587428,0.0106143,0.04340234,0.000683998,0.003442939,0,0,0,0,0,0,0,0,0,0
Sea turtles (large),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinoderms,0,0,0,0.03075948,0,0,0,0,0,0,0,0,0.1396198,0.1333207,0.1492557,0,0,0,0.09827995,0.03177467,0.04470068,0.05942532,0.002038757,0,0,0,0,0,0,0,0,0,0
Benthic molluscs/worms,0,0,0,0.240215,0.07014265,0,0.02206492,0.4215372,0.02083798,0.1208675,0,0,0.05411631,0.2051091,0.3444362,0.2596002,0.2980798,0,0.2113551,0.08214367,0.05028829,0.05237478,0.06625956,0,0,0,0.001,0,0,0,0,0,0
Zooplankton,0,0,0.07087412,0,0,0,0,0.2776677,0.02894164,0.7871631,0.9789943,0.9785998,0.1071501,0.1230658,0.08725705,0.01298,0.014904,0.1867611,0.1109612,0.1270641,0,0.003021622,0.006116278,0,0.024278,0,0.004000001,0,0,0,0,0,0
Sessile animals,0,0,0,0.01611211,0,0,0,0,0,0,0.006030818,0.006028336,0.05411631,0.07178827,0.0401842,0.2596002,0.2980798,0.1867611,0.03170325,0.07937059,0.2235036,0.09592762,0.04751471,0,0,0.024,0,0,0,0,0,0,0
Dugong,0,0,0,0.01464738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish herbivore,0,0.02462652,0.002834971,0.01464738,0,0,0.5144622,0,0.497796,0,0,0,0.5379152,0.3076647,0,0,0,0,0.01690837,0.001059152,0,0,0,0,0,0,0,0,0,0,0,0,0
Decomposer/microfauna,0,0,0,0,0,0,0,0,0,0,0.002010272,0.002009445,0,0,0.06314659,0.1168201,0,0.1867611,0,0.05825346,0,0.1178433,0.1732947,0.2,0.0190439,0,0,0,0,0,0,0,0
Phytoplankton,0,0.02462652,0,0,0,0,0,0,0,0,0.002010272,0.002009445,0,0.005127732,0.0114812,0,0,0,0.04227095,0.1196843,0,0.003021622,0.08562797,0.8,0.02205083,0,0.001,0,0,0,0,0,0
Benthic autotrophs,0,0,0,0,0.07014265,0,0,0,0,0.01813013,0.002010272,0.006028336,0,0.08922262,0.0114812,0,0,0,0.2282635,0.2118308,0.6337281,0.5579943,0.1824691,0,0.08419407,0.971,0.988,0,0,0,0,0,0
Detritus/discards,0,0,0.1366747,0.01272504,0,0.2579747,0.007578395,0.01075495,0,0.02467121,0,0,0.009111758,0,0.001735311,0.01563637,0.009249646,0.007034184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0.02462652,0,0.02343591,0,0,0.01161312,0,0.03472996,0,0,0,0,0.01025546,0.2663637,0.2596002,0.2980798,0.3735221,0.2282635,0.2722027,0,0.1077714,0.4332364,0,0.8504332,0.005,0.006000001,1,0,0,0,0,0
Import,0,0,0,0,0.0998004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0