Prey \ predator,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large Copepods,Gelatinous Zooplankton,Micronekton,Macrobenthos- polychaetes,Macrobenthos- crustaceans,Macrobenthos- molluscs,Macrobenthos- other,Megabenthos- filterers,Megabenthos- other,Shrimp et al.,Larval-juv fish- all,Small Pelagics- commercial,Small Pelagics- other,Small Pelagics- squid,Small Pelagics- anadromous,Medium Pelagics- (piscivores & other),Demersals- benthivores,Demersals- omnivores,Demersals- piscivores,Sharks- pelagics,HMS,Pinnipeds,Baleen Whales,Odontocetes,Sea Birds,Discard,Detritus-POC
Phytoplankton- Primary Producers,0,0.4305193,0.2117425,0.7240587,0.6317893,0.08602893,0.1824,0.1241,0.1351713,0.4000163,0.2008283,0.7909901,0,0.07548419,0.0589119,0.01121766,0.1656693,0,0.0117771,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0,0,0.1971663,0,0,0.02000673,0,0.2954761,0.1374624,0.1951299,0.2008283,0.1188099,0.1418395,0.4473137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0,0,0.09702543,0.1133734,0.04287973,0.05001682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small copepods,0,0,0,0.032,0.1097328,0.3301111,0.2208001,0,0.005453273,0,0,0,0,0,0.4305102,0.1193151,0.08079781,0,0.05613042,0,0,0,0,0,0,0,0.03140672,0,0,0,0
Large Copepods,0,0,0,0,0.1276366,0.3601212,0.3664,0,0.02749248,0,0,0,0,0,0.2492427,0.4344292,0.676395,0.1006037,0.9020878,0,0,0,0,0.03340645,0,0,0.5211057,0,0.03427451,0,0
Gelatinous Zooplankton,0,0,0,0,0.02392604,0.04867304,0,0,0,0,0,0,0,0,0,0.01923198,0.02177701,0,0,0.01960942,0.008961361,0.08314439,0.04308448,0,0.09437622,0,0.004986681,0.009803922,0,0,0
Micronekton,0,0,0,0,0,0,0.0464,0.05909523,0.05383944,0.03414774,0.06733654,0,0,0.1509684,0.06797528,0.2172146,0.04431918,0.5030184,0.02034226,0,0.06147739,0.0328972,0.02203885,0,0,0.08030378,0.325269,0.03253742,0.1405256,0,0
Macrobenthos- polychaetes,0,0,0,0,0,0,0,0.02672455,0.1351713,0,0.06561421,0,0.07919377,0,0.02096442,0.01121766,0,0,0.001553198,0,0.1471426,0.1663658,0.01101942,0,0,0,0,0,0,0,0
Macrobenthos- crustaceans,0,0,0,0,0.000327961,0,0,0.004904852,0.03310977,0,0.009938519,0,0.066255,0.008152554,0.01274636,0.0545647,0.000721625,0.1509055,0.002170789,0.01226363,0.1844322,0.1663658,0.01101942,0.01113548,0,0,0.04574573,0,0,0,0
Macrobenthos- molluscs,0,0,0,0,0,0,0,0.000639306,0.02196813,0.004286418,0.02239663,0,0.2375813,0,0.005,0.00803651,0.00072132,0,0,0,0.1229548,0.1663658,0.03305828,0,0,0,0.01350598,0,0,0,0
Macrobenthos- other,0,0,0,0,0.001748159,0,0,0.02106318,0.1346288,0.022337,0.0363167,0,0.2375813,0.1048391,0.02096442,0.01121766,0.002212085,0.01676727,0,0.01226363,0.1844322,0.1109106,0.1091925,0.01113548,0,0,0.02588645,0,0,0,0
Megabenthos- filterers,0,0,0,0,0,0,0,0.001053159,0.004799868,0.002984548,0.001145771,0,0.009741648,0,0,0,0,0,0,0,0.05240696,0.04041656,0.01101942,0,0,0,0,0,0,0,0
Megabenthos- other,0,0,0,0,0,0,0,0.001404212,0.004421631,0.000735662,0.006267365,0,0.04154278,0,0,0,0,0,0,0.1941741,0.09574349,0.1109106,0.02203885,0,0,0,0.004120855,0,0,0,0
Shrimp et al.,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001258382,0,0,0,0.02361985,0,0.01720621,0.01696089,0.003024275,0.1207828,0,0,0,0,0,0.02157306,0,0
Larval-juv fish- all,0,0,0,0,0,0.004059562,0,0,0,0,0,0,0,0,0.0747728,0.1080974,0.00738653,0.1676727,0.005938409,0.01226363,0,0.01127904,0.01101942,0,0,0,0,0,0,0,0
Small Pelagics- commercial,0,0,0,0,0,0.000358531,0,0,0,0,0,0,0,0,0,0,0,0.0075355,0,0.3638209,0.04829028,0.04365378,0.2704768,0.2338451,0.1801901,0.4829077,0.007487166,0.2731573,0.3118983,0,0
Small Pelagics- other,0,0,0,0,0,0.000454902,0,0,0,0,0,0,0,0,0,0,0,0.007557068,0,0.03679087,0.002015652,0.001879841,0.0560989,0.05567741,0.7006319,0.1606076,0.003227737,0.2472844,0.2684838,0,0
Small Pelagics- squid,0,0,0,0,0,9.18E-05,0,0,0,0,0,0,0,0,0,0,0,0.02131235,0,0.02591145,0.003626702,0.001691515,0.04413503,0.1781677,0.02480174,0,0.002948009,0.3305803,0.03182262,0,0
Small Pelagics- anadromous,0,0,0,0,0,4.37E-05,0,0,0,0,0,0,0,0,0,0,0,0.001007609,0,0.01925174,0,0,0.001604244,0.02227096,0,0.05846771,0.000804003,0.006790479,0.02017987,0,0
Medium Pelagics- (piscivores & other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721882,0,0,0,0.031213,0,0.000595083,0,8.27E-05,0.000353094,0,0
Demersals- benthivores,0,0,0,0,0,0,0,0,0.001607866,0,0.00181822,0,0.002898938,0,0,0.001819155,0,0,0,0.1216143,0.03728956,0.01221896,0.01101942,0.05567741,0,0.08030378,0,0,0,0,0
Demersals- omnivores,0,0,0,0,0,0,0,0,0.000314047,0,0.000115925,0,0.000863633,0,0,0.001819155,0,0,0,0.04249413,0.006046957,0.0093992,0.004007064,0.08908386,0,0.05651059,0,0.01586872,0.01322618,0,0
Demersals- piscivores,0,0,0,0,0,0,0,0,0,0,0.001225253,0,0.001656536,0,0,0.001819155,0,0,0,0.1216143,0.004031305,0.005639521,0.218385,0.07794838,0,0.08030378,0,0.0819943,0.02856211,0,0
Sharks- pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,0
HMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0,0,0
Pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,0
Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0,0,0
Odontocetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02227096,0,0,0,0.001900446,0,0,0
Sea Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,0
Discard,0,0,0,0,0,0,0,0.005909526,0.006873121,0.005853897,0.009450739,0,0.03900589,0.07548419,0,0,0,0,0,0,0.01209391,0.02255808,0,0,0,0,0,0,0.1291007,0,0
Detritus-POC,0,0.5694807,0.4940658,0.130568,0.06195949,0.1000336,0.184,0.4596297,0.2976865,0.3345085,0.3767171,0.0902,0.1418395,0.1364995,0.0589119,0,0,0,0,0,0.01209391,0.01127904,0,0.05567741,0,0,0.01350598,0,0,0,0